"Title","Year","Description","Directors","Collections","Duration","Actors"
"Red Road (2006)","2006","Andrea Arnold’s provocative feature debut is a haunting exploration of voyeuristic obsession. Set amid the notorious, now-demolished Glasgow housing complex that gives the film its title, RED ROAD immerses the view in the world of a CCTV security operator (Kate Dickie) who is drawn into a dangerous web of intrigue when she begins compulsively watching a man from her past. Employing the methods of the Dogme 95 movement—including visceral handheld camerawork and natural lighting—this enigmatic thriller bristles with an eerie, tantalizing sense of anticipation.<LF>","Andrea Arnold","Criterion","1:54:08","Kate Dickie; Tony Curran; Martin Compston"
"Riot in Cell Block 11 (1954)","1954","Early in his career, Don Siegel made his mark with this sensational and high-octane but economically constructed drama set in a maximum-security penitentiary. RIOT IN CELL BLOCK 11, the brainchild of producer extraordinaire Walter Wanger, is a ripped-from-the-headlines social-problem picture about inmates’ rights that was inspired by a recent spate of uprisings in American prisons. In Siegel’s hands, the film, shot on location at Folsom State Prison, with real inmates and guards as extras, is at once brash and humane, showcasing the hard-boiled visual flair and bold storytelling for which the director would become known.<LF>","Don Siegel","Criterion","1:20:38","Neville Brand; Emile Meyer; Frank Faylen"
"Romance (1999)","1999","Catherine Breillat explores the limits of pleasure in this boundary-pushing look at one woman’s search for sexual fulfillment. Frustrated by the lack of intimacy in her relationship with her boyfriend (Sagamore Stévenin), schoolteacher Marie (Caroline Ducey) embarks on a series of increasingly kinky, sadomasochistic encounters with several men (including one played by Italian porn star Rocco Siffredi in his mainstream debut) that transform her understanding of herself. Controversial for its explicit depiction of unsimulated sex, ROMANCE finds Breillat daringly subverting the male gaze in order to probe the emotional, psychological, and philosophical dimensions of female erotic desire.<LF><LF>WARNING: Contains explicit content<LF>","Catherine Breillat","Criterion","1:39:03","Caroline Ducey; Sagamore Stévenin; François Berléand"
"Room with a View, A (1986)","1986","Merchant Ivory Productions, led by director James Ivory and producer Ismail Merchant, became a household name with A ROOM WITH A VIEW, the first of their extraordinary adaptations of E. M. Forster novels. A cherubic nineteen-year-old Helena Bonham Carter plays Lucy Honeychurch, a young, independent-minded, upper-class Edwardian woman who is trying to sort out her burgeoning romantic feelings, divided between an enigmatic free spirit (Julian Sands) she meets on vacation in Florence and the priggish bookworm (Daniel Day-Lewis) to whom she becomes engaged back in the more corseted Surrey. Funny, sexy, and sophisticated, this gargantuan art-house hit features a sublime supporting cast—including Simon Callow, Judi Dench, Denholm Elliott, and Maggie Smith—and remains a touchstone of intelligent romantic cinema.<LF>","James Ivory","Criterion","1:57:13","Maggie Smith; Helena Bonham Carter; Daniel Day-Lewis; Julian Sands"
"Secret Garden, The (1949)","1949","Two of golden-age Hollywood’s greatest and most beloved child stars bring the classic novel by Frances Hodgson Burnett to enchanting life. In her final role at MGM, Margaret O’Brien plays Mary, a young orphan sent to live at the dark and foreboding English estate of her embittered uncle (Herbert Marshall) and his temperamental, bedridden son (fellow juvenile virtuoso Dean Stockwell). There, Mary discovers the existence of a walled-off, overgrown garden, a secret little world that, as the children nurture it, brings a glimmer of hope to a broken family. The film’s sense of wonder is enhanced by the expressive cinematography, which blossoms from atmospheric monochrome to radiant color in an unforgettable moment of movie magic.<LF>","Fred M. Wilcox","Criterion","1:32:27","Margaret O'Brien; Herbert Marshall; Dean Stockwell"
"Seduction of Mimi, The (1972)","1972","THE SEDUCTION OF MIMI is a raucous sex comedy that brought international fame to director Lina Wertmüller. Giancarlo Giannini gives a wonderfully comic performance as the sad sack Mimi, a Sicilian laborer whose refusal to vote for the Mafia’s candidate leads him to lose his job, his wife, and his home. At rock bottom, he revives his spirits by falling in love with the beautiful, radical Fiorella (Mariangela Melato), with whom he starts a new life as a reliable husband and father. But the past comes back to haunt him, piling on comical complexities as all his energies surge into defending his honor, an obsession that has horrendous but hilarious consequences. A blistering satire of Italy in the 1970s, THE SEDUCTION OF MIMI takes aim at a corrupt government, compromised labor leaders, and the Neanderthal sexual politics of men in power, with uproarious results.","Lina Wertmüller","Criterion","1:52:42","Giancarlo Giannini; Mariangela Melato; Turi Ferro"
"Sergeant York (1941)","1941","In one of his defining roles, an Academy Award–winning Gary Cooper plays the real-life soldier who became the most decorated hero of World War I. When Tennessee farmer Alvin York (Cooper) is drafted, he enters the military as a conscientious objector, refusing to use violence against anyone. Although a born leader and patriot, the deeply religious York goes to the front still believing in nonviolence. But when his unit is overwhelmed by Germans, Sergeant York must reconcile his convictions with the need to defend his friends. Directed with characteristic mastery by Howard Hawks, SERGEANT YORK is rousing Americana tailor-made for Cooper’s brand of everyman earnestness.<LF><LF>0ms","Howard Hawks","Criterion","2:14:11","Gary Cooper; Walter Brennan; Joan Leslie"
"Shree 420 (1955)","1955","Director-producer-star Raj Kapoor channels Charlie Chaplin’s Little Tramp in his follow-up to the blockbuster AWAARA, in which he plays a naive young man who travels from the country to Mumbai in search of work—only to be seduced by the temptations of big-city greed and vice. As our hero descends into a life of crime, the love of a poor but idealistic woman (Nargis) may be the only hope of setting him back on a virtuous path. The hit musical number “Mera Joota Hai Japani” went on to become an emblem of national pride for a newly independent India thanks to its patriotic lyrics (“My shoes are Japanese, these trousers are English, the red cap on my head is Russian, but still my heart is Indian”).<LF>","Raj Kapoor","Criterion","2:51:24","Raj Kapoor; Nargis; Nadira"
"Skin, The (1981)","1981","Based on the memoirs of author Curzio Malaparte, diplomatic liaison between the Allied and Italian forces following the Nazi defeat, this harrowing postwar epic is an unflinching look at the collapse of Italian society under the U.S. occupation and the desperate measures required for survival. Starring screen legends Marcello Mastroianni, Burt Lancaster, and Claudia Cardinale, THE SKIN is an unforgettable and controversial vision of moral decay in a world gone mad.","DLiliana Cavani","Criterion","2:13:48","Marcello Mastroianni; Burt Lancaster; Claudia Cardinale"
"Smiling Lieutenant, The (1931)","1931","Maurice Chevalier’s randy Viennese lieutenant is enamored of Claudette Colbert’s freethinking, all-girl-orchestra-leading cutie. Yet complications ensue when the sexually repressed princess of the fictional kingdom of Flausenthurm, played by newcomer Miriam Hopkins, sets her sights on him. THE SMILING LIEUTENANT is a delightful showcase for its rising female stars, who are never more charming than when Colbert tunefully instructs Hopkins, “Jazz Up Your Lingerie.”<LF>","Ernst Lubitsch","Criterion","1:29:06","Maurice Chevalier; Claudette Colbert; Miriam Hopkins"
"Some Like It Hot (1959)","1959","This hysterical comedy from director Billy Wilder finds Tony Curtis and Jack Lemmon on the lam after witnessing a mob hit.  They join an all-girl jazz band and masquerade as women in order to elude the Chicago mobsters, and befriending a beautiful singer (Marilyn Monroe) and a wealthy business magnate.<LF><LF>Some Like It Hot is a 1959 American black and white romantic comedy film set in 1929, directed and produced by Billy Wilder, starring Marilyn Monroe, Tony Curtis, and Jack Lemmon. The supporting cast includes George Raft, Pat O'Brien, Joe E. Brown, Joan Shawlee, and Nehemiah Persoff. The screenplay by Billy Wilder and I. A. L. Diamond is based on a screenplay by Robert Thoeren and Michael Logan from the French film Fanfare of Love. The film is about two musicians who dress in drag in order to escape from mafia gangsters whom they witnessed commit a crime inspired by the Saint Valentine's Day Massacre.<LF><LF>Some Like It Hot opened to critical and commercial success and is today considered to be one of the greatest films of all time.[2] The film received six Academy Award nominations, including Best Actor, Best Director and Best Adapted Screenplay. It was voted as the top comedy film by the American Film Institute on their list on AFI's 100 Years...100 Laughs poll in 2000, and was selected as the best comedy of all time in a poll of 253 film critics from 52 countries conducted by the BBC in 2017.[2] In 2005, the British Film Institute included this film on its list of the 50 films you should see by the age of 14.<LF><LF>The film was produced without approval from the Motion Picture Production Code because it plays with the idea of homosexuality and features cross dressing. The code had been gradually weakening in its scope during the early 1950s, due to greater social tolerance for previously taboo topics in film, but it was still officially enforced until the mid-1960s. The overwhelming success of Some Like It Hot is considered one of the final nails in the coffin for the Hays Code.[3]","Billy Wilder","Criterion","2:01:50","Marilyn Monroe; Tony Curtis; Jack Lemmon"
